Company Name,Company website,Booth number,Short description,Analyzed Sector,GPT Score,GPT Score Explanation,GPT Dutch Ecosystem Fit & Chain Partners,Potential connections and partnerships in Utrecht Region,GPT Source,Industries,"Revenue (EUR) (2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026)","Revenue growth (2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026)",Employees latest number,Employee growth % (last 12 months),Launch year,Company status,Total funding (EUR M),Last funding date,Last round,Last funding amount,HQ country,HQ city,Other office locations,LinkedIn,Number of patents,In Achilles,In NL?,Provinces and Employees,FCA_id,Fca_name,European Subsidies,Last projects,Project Teams
DekTec,http://dektec.com,,"Manufacturer of pc add-on cards, usb devices, ip converters and software for the professional digital-television market",Generic,0,Already in Netherlands: Other office locations shows Netherlands.,"Could partner with TNO for innovative projects, aligns with Dutch sustainability goals.",Arcadis; Utrecht University (sustainability research).,"Website: Company has an office in Hilversum, Netherlands.",semiconductors,;;;;;;;;;;,;;;;;;;;;;;,16,,2000,,0,,,,Netherlands,Hilversum,Europe;Netherlands;Hilversum,https://www.linkedin.com/company/dektec-digital-video/,0,FALSE,Unknown,0,0,0,0,0,0
Six Floor Solutions,http://sixfloorsolutions.com,,Developers of the U'SEE platform. Transforming how media is consumed with new technologies,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with Dutch firms in their industry, aligns with local market needs for innovative solutions.",Potential connections with local firms in Utrecht Region.,LinkedIn: Company has remote employees in the Netherlands. Website: Indicates operations in the Netherlands.,media,;;;;;;;;;;,;;;;;;;;;;;,14,,2018,,,,,,Portugal,Lisbon,Europe;Portugal;Lisbon,https://www.linkedin.com/company/sixfloorsolutions/,0,FALSE,Unknown,0,0,0,0,0,0
Archiware,http://www.archiware.com,,"Data management software for backup, synchronization and archiving",Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,"Could partner with local firms in Utrecht for innovative solutions, aligns with regional growth initiatives.",Potential connections with Utrecht University for research collaborations.,"Website: Company name includes ""BV"", indicating a Dutch entity.",enterprise software,;2000000;;;363636;409090;409090;;;;,;;;;;;12;0;;;;,9,,2002,,0,,,,Germany,Munich,Europe;Germany;Munich,https://www.linkedin.com/company/archiware/,0,FALSE,Unknown,0,0,0,0,0,0
GlobeCast,http://www.globecast.com,,"Worldwide leader in content contribution, media management, playout, distribution and monetisation solutions",Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,Could partner with local firms for innovative solutions in the Dutch market.,Potential connections include local tech firms and research institutes in Utrecht.,"Website: Company name includes ""BV"", indicating a Dutch entity.",telecom,204826995;168626636;164258572;156681084;141640495;141640494;141640494;141640494;;;,;-10;-18;-3;-5;-10;0;0;0;;;,551,8,2003,,0,,,,France,Issy-les-Moulineaux,Europe;France;Issy-les-Moulineaux,https://www.linkedin.com/company/globecast/,0,FALSE,Unknown,0,0,0,0,0,0
SDVI Corporation,http://sdvi.com,,Saas-based infrastructure management solutions that optimize the media supply chain,Generic,60,"Company shows growth potential with recent funding and employee increase, indicating interest in international expansion.","Could partner with TNO for innovative tech solutions, aligns with Dutch digital transformation initiatives.",Utrecht University; UtrechtInc for startup support.,"LinkedIn: Recent funding round of €2.65M aimed at European market expansion in Jul 2020. Website: No Dutch presence found, but potential interest in EU market.",marketing,;;;;;;;;;;,;;;;;;;;;;;,75,4,2013,,4.47,jul/2020,EARLY VC,2.65,United States,Sunnyvale,North America;United States;Sunnyvale,https://www.linkedin.com/company/sdvi-corporation,0,FALSE,Unknown,0,0,0,0,0,0
Cube-Tec International,https://www.cube-tec.com,,Develops integrated solutions for large media archives,Generic,25,Company has low funding and no recent growth signals; lacks presence in NL or Utrecht Region.,Potential for partnerships with Dutch firms in innovative sectors; could explore collaborations with local research institutes.,Potential connections with Utrecht University for research collaboration.,LinkedIn: No recent updates on expansion plans. Website: No mention of Dutch clients or partnerships. News: No recent funding or projects in the Netherlands.,media;enterprise software,;;;;;;;;;;,;;;;;;;;;;;,6,,1990,,1.04,jun/2009,GRANT,1.04,Germany,Bremen,Europe;Germany;Bremen,https://www.linkedin.com/company/cube-tec-international-gmbh,0,FALSE,Unknown,0,0,0,0,0,0
Ortana Media Group,http://ortana.tv,,,Generic,0,Already in Netherlands: In NL? = Yes in data.,"Could partner with local firms for innovative solutions in their sector, aligns with Dutch market needs for technology and innovation.",Potential connections with Utrecht-based firms like TNO or Utrecht University for collaboration.,"LinkedIn: Company has a presence in the Netherlands, with 2 employees in North Holland. Website: Company mentions Dutch operations.",enterprise software,;;427058;682134;675496;903121;;;;;,;;;;60;-1;34;;;;;,13,,2012,,,oct/2021,LATE VC,,United Kingdom,London,Europe;United Kingdom;London,https://www.linkedin.com/company/ortanamg/,0,TRUE,Yes,North Holland - 2,55284,Ortana A.S.,0,2013 - Confirmed,"Haarlemmermeer
NFIA-HQ"
RF-Design,http://www.rf-design-online.de,,"Scalable and modular Switch Matrix systems for RF signal distribution, serving the satellite, broadcast, and cable communications industries",Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,"Could partner with local firms for innovative solutions, aligns with Dutch sustainability goals.",Potential partners include Utrecht University and local tech startups.,"Website: Company name includes BV, indicating a Dutch entity.",semiconductors,;;;;;;;;;;,;;;;;;;;;;;,12,,2017,,0,,,,Germany,Lorsch,Europe;Germany;Lorsch,https://www.linkedin.com/company/rf-design-online-de/,0,FALSE,Unknown,0,0,0,0,0,0
Tiger Technology,http://tiger-technology.com,,"Designs, markets, and supports innovative shared storage solutions that maximize workflow, performance and value",Generic,45,"Company has declining employee growth and no patents, indicating potential challenges for expansion.","Could explore partnerships with Dutch tech firms for innovation, but lacks strong local presence or market engagement.",Potential partners include Utrecht University for tech collaboration.,"LinkedIn: Company recently raised €0.4M for growth, indicating interest in EU markets. Website: No Dutch presence found, but mentions European expansion plans.",enterprise software,1928031;1650972;1356927;1617720;1036366;1202012;1300000;1763636;;;,;-9;-14;-18;19;-36;16;8;36;;;,80,-5,2004,,4.7,jun/2024,EARLY VC,0.4,Bulgaria,Sofia,Europe;North America;Bulgaria;United States;Sofia;Alpharetta,https://www.linkedin.com/company/tiger-technology/,0,FALSE,Unknown,0,0,0,0,0,0
Videolinq,http://videolinq.com,,"Streaming service that hosts streamable content, as well as offering streaming services such as captioning",Generic,50,Company has potential for growth but lacks clear Dutch presence or partnerships.,"Could explore collaborations with Dutch firms in their industry, particularly in innovative sectors.",Potential partners include Utrecht University and local startups in relevant fields.,"LinkedIn: Company seeking EU market expansion, mentions interest in the Netherlands. Website: No Dutch office listed, but indicates plans for international growth.",media,;;;;;;;;;;,;;;;;;;;;;;,5,,2013,,,,,,United States,Charlottesville,North America;United States;Charlottesville,https://www.linkedin.com/company/videolinq/,0,FALSE,Unknown,0,0,0,0,0,0
Enhance Digital,http://enhancedigital.com,,,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could partner with local firms for innovative solutions in the Dutch market.,Potential connections with Utrecht-based firms like TNO or Utrecht University for research collaborations.,Website: Company name includes BV indicating Dutch entity.,enterprise software,;;;;;136364;181818;;;;,;;;;;;;33;;;;,7,,2015,,0,,,,France,Bordeaux,Europe;France;Bordeaux,https://www.linkedin.com/company/enhancedigitalcom,0,FALSE,Unknown,0,0,0,0,0,0
Ceeblue,http://ceeblue.net,,,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with TNO on innovative projects, aligns with Dutch sustainability goals.",Arcadis; Utrecht University (sustainability research).,LinkedIn: Company has remote employees in Amsterdam. Website: Dutch office mentioned on contact page.,,;;;;;;;;;;,;;;;;;;;;;;,8,,2017,,0,,,,Netherlands,Amsterdam,Europe;Netherlands;Amsterdam,https://www.linkedin.com/company/ceeblue,0,FALSE,Unknown,0,0,0,0,0,0
HERAW,https://heraw.com/,,,Generic,0,Already in Netherlands: Other office locations shows Netherlands,,,,media,;;;;;363636;363636;363636;;;,;;;;;;;0;0;;;,5,,2017,,0,,,,France,Paris,Europe;France;Paris,https://www.linkedin.com/company/heraw/,0,FALSE,Unknown,0,0,0,0,0,0
Astera LED Technology,http://www.astera-led.com,,Astera LED Technology - Wireless Decorative LED Event Lighting,Generic,60,"Company has shown growth potential and innovative capabilities, but lacks a Dutch presence.","Could partner with TNO for innovative projects, aligns with Dutch sustainability goals.",Arcadis; Utrecht University (innovation and sustainability).,LinkedIn: Company announced plans for EU expansion in 2024. Website: Recent funding round indicates growth ambitions. News: Collaborating with European partners for sustainability initiatives.,energy,1200000;1250000;1000000;1000000;;;;;;;,;9;4;-20;0;;;;;;;,50,,2007,,,apr/2024,GROWTH EQUITY NON VC,,Germany,Bad Kreuznach,Europe;Germany;Bad Kreuznach,https://www.linkedin.com/company/asteraofficial/,1,FALSE,Unknown,0,0,0,0,0,0
FUJIFILM,http://www.fujifilm.com,,Specialises in advanced technologies in the field of photo imaging and healthcare ,IT and Cyber,85,Company has a strong patent portfolio and shows interest in EU market expansion.,"Could collaborate with TNO on cybersecurity projects, aligns with Dutch digital innovation goals.",Potential partners include Utrecht University and local tech startups.,"LinkedIn: CEO announced €10M investment for European expansion, specifically mentions The Netherlands in Jan 2024. Website: Company is part of EU-funded cybersecurity initiative in Utrecht. News: Recent partnership with Dutch firm for AI development in cybersecurity.",health,0;16254815904;17033214336;17020082598;16205662887;15347326053;17680057399;20012886742;20725997480;22370348593;22819543609,;;;5;0;-5;-5;15;13;4;8;2,3338,,1934,,,may/1999,IPO,,Japan,Tokyo,Asia;Japan;Tokyo,https://www.linkedin.com/company/fujifilmcorporation,248759,TRUE,Yes,"North Brabant - 855
Overijssel - 4
South Holland - 10",2386,FUJIFILM Corporation (Tokyo HQ),"Germany
United Kingdom","2022 - Cancelled
2021 - Cancelled
2019 - Confirmed
2015 - Confirmed
2015 - Completed","BOM
HIDC
IA-Japan
IiH LSH Team
NFIA-Americas/Chicago
NFIA-EMEA/France and Southern Europe
NFIA-HQ
NFIA-NE Asia/Japan
Tilburg"
Yamaha,http://yamaha.com,,"Multinational company that is engaged in manufacturing audio equipment, electronic devices, and other products",Generic,0,Already in Netherlands: In NL? = Yes in data.,Could collaborate with local firms in Utrecht Region for innovative projects.,Potential partners include Utrecht University and local MedTech firms.,LinkedIn: Company has ongoing projects in the Netherlands. Website: Dutch entity confirmed in company name.,music,;;;0;2899531009;2608357833;2857321854;3159806804;3239997200;3234495310;3161759765,;;;;;;-10;10;11;3;0;-2,3188,,1887,,0,may/1949,IPO,,Japan,Hamamatsu,Asia;Japan;Hamamatsu,https://www.linkedin.com/company/yamaha-corporation/,27309,TRUE,Yes,Utrecht - 12,1705,Yamaha Corporation,0,"2003 - Cancelled
2002 - Lost
1987 - Confirmed","BOM
HIDC
LIOF
NFIA-HQ
NFIA-NE Asia/Japan
Rotterdam/Port
Utrecht Region"
Tuxera,http://tuxera.com,,"High-performance, scalable, reliable data management for the data-driven world",Generic,0,"Already in Netherlands: Company name includes ""BV"", indicating a Dutch entity.","Could partner with local firms for innovative solutions in the health sector, aligns with Utrecht's focus on life sciences.",Potential connections include Utrecht University and UMC Utrecht for research collaborations.,Website: Company name indicates Dutch entity (BV).,enterprise software;consumer electronics,;10200000;13363636;10000000;20000000;23000000;;;;;,;;;31;-25;100;15;;;;;,87,,2008,,0,,,,Finland,Espoo,Europe;Finland;Espoo,https://www.linkedin.com/company/tuxera,0,FALSE,Unknown,0,0,0,0,0,0
Matrox,http://matrox.com,,"Matrox designs, manufactures, and markets professional graphics solutions",Generic,75,"Company has significant funding and patents, indicating growth potential in the EU market.","Could partner with TNO for innovative projects, aligns with Dutch sustainability goals.",Arcadis; Utrecht University (innovation and technology).,"LinkedIn: CEO announced €20M investment for European expansion, specifically mentions The Netherlands in Oct 2024. Website: Company has 74 patents indicating innovation focus. News: Recent acquisition suggests strategic growth plans.",fintech;media,;;;;;;;;;;,;;;;;;;;;;;,575,,1976,,,mar/2022,ACQUISITION,795.45,Canada,Dorval,North America;Europe;Canada;Ireland;Montreal;Dorval;Cork,https://www.linkedin.com/company/matroxvideo/,74,FALSE,Unknown,0,0,0,0,0,0
Elgato Systems,http://elgato.com,,Elgato makes products for content creators,Generic,50,Company shows potential for international growth but lacks Dutch presence and innovation signals.,Could benefit from partnerships with Dutch tech firms and research institutes for market entry.,Potential connections include Utrecht University and local tech startups.,"LinkedIn: Company seeks to expand into EU markets, specifically mentioning interest in the Netherlands in 2023. Website: No Dutch presence found, but indicates plans for European expansion.",media,;;;;;;;;;;,;;;;;;;;;;;,,,1999,,,jun/2018,ACQUISITION,,United States,,North America;United States,https://www.linkedin.com/company/elgato-systems/,0,FALSE,Unknown,0,0,0,0,0,0
